barcode,interview_id,field_species_id,Date,Time,capture_depth,lat,lon,length,recorded_mark,sampled,finsampled,sex,mature,rank,fisherman_id,port_id,fishermanport_id,vessel_id,fisherytype_id,fisherygroup_id,agency_id,bestestimate1,probability1,bestestimate2,probability2,bestestimate3,probability3,bestestimate4,probability4,bestestimate5,probability5,bestestimate6,probability6,bestestimate7,probability7,bestestimate8,probability8,bestestimate9,probability9,bestestimate10,probability10,bestestimate11,probability11,bestestimate12,probability12
CA25401,201100437,1,23-Jul-11,9:22:47,36.576,39.4518,-123.86655,,X,,Y,,X,,1039,,,245,11,100,2,Central_Valley_fall,99.998,Central_Valley_spring,0.001,0,0,,,,,,,,,,,,,,,,,,
33821,201100440,1,10-Aug-11,7:04:59,21.9456,42.01930556,-124.3502778,0.82,N,Y,,,E,13,9,,,9,11,100,1,Central_Valley_fall,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
17841,201100441,1,14-Aug-11,19:15:16,27.432,44.7427,-124.3006833,0.68,Y,Y,,,M,13,126,,,122,11,100,1,Mid_Oregon_Coast,0.7996,L_Columbia_fall,0.0882,U_Columbia_summer_fall,0.0679,Rogue,0.0253,N_Puget_Sound,0.0056,L_Columbia_spring,0.0055,,0,,0,,0,,0,,0,,
CA26595,201100442,1,23-Jul-11,10:22:04,36.576,39.55181667,-123.85035,0.79,N,,N,,E,,1132,,,369,11,100,2,N_California_S_Oregon_Coast,97.768,Mid_Oregon_Coast,1.788,Rogue,0.442,,,,,,,,,,,,,,,,,,
13945,201100444,1,15-Aug-11,9:30:56,133.5024,43.30608333,-124.61785,0.92,N,Y,,,M,13,36,,,35,11,100,1,U_Columbia_summer_fall,0.9643,Snake_fall,0.0177,L_Columbia_fall,0.0146,,0,,0,,0,,0,,0,,0,,0,,0,,
13127,201100446,1,13-Aug-11,20:40:29,69.4944,44.79606667,-124.2854,0.745,N,Y,,,E,13,123,,,119,11,100,1,Snake_fall,0.6941,U_Columbia_summer_fall,0.2949,Deschutes_fall,0.0098,,0,,0,,0,,0,,0,,0,,0,,0,,
CA26646,201100447,1,23-Jul-11,18:10:51,73.152,39.84888333,-123.9527667,0.7,N,,Y,,X,,1057,,,258,11,100,2,Rogue,99.954,N_California_S_Oregon_Coast,0.031,Mid_Oregon_Coast,0.015,,,,,,,,,,,,,,,,,,
13251,201100448,1,15-Aug-11,11:57:54,64.008,44.74825,-124.3135167,0.7,Y,Y,,,M,13,124,,,120,11,100,1,Mid_Oregon_Coast,0.612,Rogue,0.3782,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
CA22172,201100531,1,09-Aug-11,15:49:06,21.9456,37.87753333,-122.7426333,0.85,Y,,Y,,M,,1040,,,246,11,100,2,Central_Valley_fall,99.833,Central_Valley_spring,0.167,0,0,,,,,,,,,,,,,,,,,,
19991,201100450,1,14-Aug-11,19:11:46,16.4592,44.75918333,-124.2692333,0.78,N,Y,,,E,13,113,,,109,11,100,1,Deschutes_fall,0.8537,Snake_fall,0.1354,U_Columbia_summer_fall,0.0108,,0,,0,,0,,0,,0,,0,,0,,0,,
11956,201100451,1,16-Aug-11,8:15:27,47.5488,44.73995,-124.3385333,0.71,N,Y,,,M,13,63,,,61,11,100,1,Central_Valley_fall,0.9989,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
CA26015,201100453,1,23-Jul-11,12:41:03,65.8368,39.93255,-124.1172833,,N,,Y,,E,,1130,,,321,11,100,2,Rogue,74.024,N_California_S_Oregon_Coast,24.954,Mid_Oregon_Coast,1.021,,,,,,,,,,,,,,,,,,
CA26905,201100454,1,23-Jul-11,10:08:08,43.8912,39.48988333,-123.8398,0.76,N,,Y,,X,,1123,,,316,11,100,2,Central_Valley_fall,99.983,Central_Valley_spring,0.018,0,0,,,,,,,,,,,,,,,,,,
CA29807,201100455,1,24-Jul-11,17:45:21,40.2336,39.42071667,-123.8763167,0.79,Y,,N,,U,,1198,,,370,11,100,2,Rogue,97.02,Mid_Oregon_Coast,2.713,N_California_S_Oregon_Coast,0.267,,,,,,,,,,,,,,,,,,
CA25818,201100456,1,24-Jul-11,9:26:00,71.3232,39.83945,-123.9690833,0.68,N,,Y,,X,,1143,,,332,11,100,2,Rogue,98.985,N_California_S_Oregon_Coast,0.482,Klamath,0.451,,,,,,,,,,,,,,,,,,
CA29606,201100457,1,23-Jul-11,11:19:00,12.8016,39.44373333,-123.8758167,0.79,N,,Y,,X,,1146,,,335,11,100,2,Central_Valley_fall,98.321,Central_Valley_spring,1.674,Deschutes_fall,0.004,,,,,,,,,,,,,,,,,,
CA28607,201100458,1,24-Jul-11,10:11:03,60.3504,39.4088,-123.8875167,0.71,N,,Y,,U,,1140,,,329,11,100,2,Rogue,99.922,N_California_S_Oregon_Coast,0.047,Mid_Oregon_Coast,0.021,,,,,,,,,,,,,,,,,,
CA30506,201100462,1,24-Jul-11,8:50:35,58.5216,39.4755,-123.8659167,0.89,N,,Y,,U,,1122,,,315,11,100,2,Rogue,99.559,Mid_Oregon_Coast,0.403,N_California_S_Oregon_Coast,0.037,,,,,,,,,,,,,,,,,,
CA24939,201100463,1,23-Jul-11,12:11:57,43.8912,39.90525,-124.0869,0.845,X,,Y,,X,,1167,,,302,11,100,2,N_California_S_Oregon_Coast,84.53,California_Coast,14.074,Mid_Oregon_Coast,1.347,,,,,,,,,,,,,,,,,,
CA31106,201100464,1,23-Jul-11,14:30:53,54.864,39.81248333,-123.9202667,0.82,N,,Y,,U,,1087,,,288,11,100,2,Central_Valley_fall,99.997,Central_Valley_spring,0.003,L_Columbia_spring,0,,,,,,,,,,,,,,,,,,
CA24721,201100465,1,23-Jul-11,9:06:53,54.864,39.76953333,-123.90835,0.73,N,,Y,,X,,1082,,,283,11,100,2,Central_Valley_fall,99.918,Central_Valley_spring,0.081,0,0,,,,,,,,,,,,,,,,,,
CA20015,201100466,1,24-Jul-11,9:05:28,64.008,39.47783333,-123.8623167,0.72,N,,Y,,X,,1131,,,322,11,100,2,Rogue,99.309,Mid_Oregon_Coast,0.423,N_California_S_Oregon_Coast,0.268,,,,,,,,,,,,,,,,,,
CA28509,201100467,1,23-Jul-11,13:51:09,38.4048,39.9659,-124.11285,0.88,N,,Y,,M,,1096,,,297,11,100,2,Mid_Oregon_Coast,50.74,Rogue,49.096,N_California_S_Oregon_Coast,0.163,,,,,,,,,,,,,,,,,,
CA27123,201100468,1,23-Jul-11,9:07:11,49.3776,39.99845,-124.1299333,0.86,N,,Y,,X,,1097,,,298,11,100,2,Central_Valley_fall,99.998,Central_Valley_spring,0.003,0,0,,,,,,,,,,,,,,,,,,
CA27298,201100470,1,01-Aug-11,8:02:16,32.9184,41.05333333,-124.2568,0.71,N,,Y,,X,,1192,,,362,11,100,2,Klamath,88.04,Rogue,11.276,Mid_Oregon_Coast,0.683,,,,,,,,,,,,,,,,,,
CA27876,201100471,1,29-Jul-11,17:16:01,113.3856,40.0062,-124.1526833,0.78,N,,Y,,X,,1138,,,328,11,100,2,Rogue,92.385,Mid_Oregon_Coast,4.251,N_California_S_Oregon_Coast,3.364,,,,,,,,,,,,,,,,,,
CA24054,201100475,1,02-Aug-11,6:45:31,73.152,39.67711667,-123.865,0.84,N,,Y,,X,,1176,,,353,11,100,2,Central_Valley_fall,99.998,Central_Valley_spring,0.002,0,0,,,,,,,,,,,,,,,,,,
CA24782,201100476,1,31-Jul-11,8:11:50,27.432,39.67245,-123.8753667,0.8,N,,Y,,M,,1082,,,283,11,100,2,Central_Valley_fall,99.998,Central_Valley_spring,0.002,0,0,,,,,,,,,,,,,,,,,,
CA23439,201100477,1,30-Jul-11,14:02:39,45.72,39.40021667,-123.8808333,0.92,N,,Y,,X,,1091,,,292,11,100,2,U_Columbia_summer_fall,86.603,Snake_fall,10.48,Deschutes_fall,2.9,,,,,,,,,,,,,,,,,,
CA10785,201100478,1,29-Jul-11,11:08:02,21.9456,39.38423333,-123.9005167,0.88,N,,Y,,X,,1062,,,319,11,100,2,Central_Valley_fall,99.995,Central_Valley_spring,0.004,0,0,,,,,,,,,,,,,,,,,,
CA25437,201100479,1,30-Jul-11,12:38:36,21.9456,39.57473333,-123.8681167,0.84,N,,Y,,M,,1039,,,245,11,100,2,California_Coast,100,0,0,0,0,,,,,,,,,,,,,,,,,,
CA26093,201100480,1,29-Jul-11,11:48:56,73.152,39.38313333,-123.9121333,0.89,N,,Y,,M,,1130,,,321,11,100,2,Klamath,100,0,0,0,0,,,,,,,,,,,,,,,,,,
CA29824,201100482,1,02-Aug-11,13:55:49,91.44,39.95035,-124.1273,0.83,N,,Y,,E,,1198,,,370,11,100,2,Rogue,80.155,Klamath,15.902,N_California_S_Oregon_Coast,3.335,,,,,,,,,,,,,,,,,,
CA25631,201100483,1,29-Jul-11,17:50:01,65.8368,39.41973333,-123.8812167,0.8,Y,,Y,,X,,1078,,,279,11,100,2,Central_Valley_fall,99.994,Central_Valley_spring,0.007,0,0,,,,,,,,,,,,,,,,,,
CA28629,201100484,1,29-Jul-11,11:01:27,21.9456,39.308,-123.8792,0.93,N,,Y,,E,,1140,,,329,11,100,2,Rogue,99.951,Mid_Oregon_Coast,0.026,N_California_S_Oregon_Coast,0.023,,,,,,,,,,,,,,,,,,
CA19916,201100485,1,29-Jul-11,8:37:35,27.432,39.38775,-123.9017667,0.85,N,,Y,,X,,1043,,,248,11,100,2,Central_Valley_fall,99.831,Central_Valley_spring,0.17,0,0,,,,,,,,,,,,,,,,,,
CA25833,201100486,1,29-Jul-11,13:20:14,54.864,39.39446667,-123.9016167,0.89,N,,Y,,U,,1143,,,332,11,100,2,Central_Valley_fall,99.912,Central_Valley_spring,0.087,0,0,,,,,,,,,,,,,,,,,,
CA30529,201100487,1,30-Jul-11,14:53:38,38.4048,39.41591667,-123.8704167,0.77,N,,Y,,U,,1122,,,315,11,100,2,Central_Valley_fall,99.95,Central_Valley_spring,0.05,0,0,,,,,,,,,,,,,,,,,,
CA20042,201100488,1,31-Jul-11,15:06:02,91.44,39.42936667,-123.8704,0.99,N,,Y,,E,,1131,,,322,11,100,2,Central_Valley_fall,96.772,Central_Valley_spring,3.228,0,0,,,,,,,,,,,,,,,,,,
CA26182,201100489,1,05-Aug-11,18:40:33,73.152,39.75055,-123.9206667,0.77,N,,Y,,M,,1130,,,321,11,100,2,Central_Valley_fall,98.393,Central_Valley_spring,1.607,0,0,,,,,,,,,,,,,,,,,,
CA14915,201100490,1,29-Jul-11,13:56:06,65.8368,39.72938333,-123.88795,0.88,N,,Y,,U,,1093,,,294,11,100,2,Central_Valley_fall,99.996,Central_Valley_spring,0.003,0,0,,,,,,,,,,,,,,,,,,
CA18369,201100491,1,29-Jul-11,15:20:06,36.576,39.44066667,-123.9134,0.89,Y,,Y,,U,,1170,,,349,11,100,2,Central_Valley_fall,99.906,Central_Valley_spring,0.094,0,0,,,,,,,,,,,,,,,,,,
27686,201100496,1,24-Aug-11,8:42:22,45.72,43.66875,-124.2756667,0.86,N,Y,,,E,12,1187,,,65,11,100,1,Central_Valley_fall,0.9999,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
CA26806,201100499,1,29-Jul-11,14:12:41,54.864,39.32883333,-123.95,0.98,N,,Y,,E,,1123,,,316,11,100,2,Rogue,78.093,N_California_S_Oregon_Coast,20.026,Mid_Oregon_Coast,1.878,,,,,,,,,,,,,,,,,,
CA11350,201100500,1,29-Jul-11,12:32:58,54.864,39.34138333,-123.9296333,0.79,N,,Y,,X,,1054,,,255,11,100,2,Central_Valley_fall,99.827,Central_Valley_spring,0.173,0,0,,,,,,,,,,,,,,,,,,
CA25306,201100501,1,29-Jul-11,12:45:05,36.576,39.36808333,-123.9063667,0.85,N,,Y,,X,,1058,,,259,11,100,2,Central_Valley_fall,99.993,Central_Valley_spring,0.009,L_Columbia_spring,0,,,,,,,,,,,,,,,,,,
CA31154,201100502,1,30-Jul-11,18:22:44,16.4592,39.99575,-124.1678833,0.79,N,,Y,,U,,1087,,,288,11,100,2,Rogue,99.884,Mid_Oregon_Coast,0.114,N_California_S_Oregon_Coast,0.002,,,,,,,,,,,,,,,,,,
CA23487,201100503,1,05-Aug-11,8:56:48,82.296,39.65006667,-123.88145,0.93,N,,Y,,X,,1091,,,292,11,100,2,Central_Valley_fall,99.942,Central_Valley_spring,0.057,Deschutes_fall,0,,,,,,,,,,,,,,,,,,
17226,201100515,1,29-Aug-11,12:17:20,73.152,43.61258333,-124.2980333,0.92,N,Y,,,E,13,147,,,142,11,100,1,Central_Valley_fall,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
20509,201100517,1,29-Aug-11,15:18:22,54.864,43.60496667,-124.2785667,0.89,N,Y,,,E,13,143,,,138,11,100,1,Rogue,0.8534,Mid_Oregon_Coast,0.1226,N_California_S_Oregon_Coast,0.0133,U_Columbia_summer_fall,0.0099,,0,,0,,0,,0,,0,,0,,0,,
26562,201100518,1,16-Aug-11,9:20:43,118.872,43.398,-124.5121,0.7,N,Y,,,X,13,27,,,27,11,100,1,Deschutes_fall,0.7235,Snake_fall,0.1966,L_Columbia_fall,0.0413,U_Columbia_summer_fall,0.0298,,0,,0,,0,,0,,0,,0,,0,,
13573,201100520,1,22-Aug-11,16:55:00,109.728,43.453,-124.4559833,0.82,N,Y,,,M,13,36,,,35,11,100,1,Mid_Oregon_Coast,0.9975,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
20025,201100521,1,21-Aug-11,16:32:26,93.2688,43.44935,-124.4557833,0.8,N,Y,,,X,12,27,,,27,11,100,1,Snake_fall,0.4906,Mid_Oregon_Coast,0.3105,U_Columbia_summer_fall,0.1056,Klamath,0.071,Deschutes_fall,0.0102,L_Columbia_fall,0.0092,,0,,0,,0,,0,,0,,
21917,201100522,1,30-Aug-11,12:39:34,67.6656,43.62488333,-124.2740667,0.84,N,Y,,,E,13,139,,,134,11,100,1,Central_Valley_fall,0.7828,Central_Valley_spring,0.1938,U_Columbia_summer_fall,0.0121,Snake_fall,0.01,,0,,0,,0,,0,,0,,0,,0,,
CA22184,201100532,1,18-Aug-11,16:32:21,21.9456,37.86436667,-122.6675333,0.87,N,,Y,,E,,1040,,,246,11,100,2,Central_Valley_fall,99.999,Central_Valley_spring,0.001,0,0,,,,,,,,,,,,,,,,,,
CA10756,201100553,1,09-Aug-11,17:56:49,10.9728,37.85913333,-122.7074333,0.88,N,,Y,,X,,1071,,,272,11,100,2,Central_Valley_fall,99.995,Central_Valley_spring,0.005,0,0,,,,,,,,,,,,,,,,,,
29224,201100534,1,16-Aug-11,9:15:00,14.6304,42.02775,-124.2970833,0.76,N,Y,,,M,12,9,,,9,11,100,1,Central_Valley_fall,0.9561,L_Columbia_fall,0.0241,Central_Valley_spring,0.0193,,0,,0,,0,,0,,0,,0,,0,,0,,
CA22793,201100535,1,29-Jul-11,10:17:23,64.008,39.99816667,-124.1273167,0.777,N,,Y,,X,,1169,,,348,11,100,2,Rogue,99.999,Mid_Oregon_Coast,0.001,0,0,,,,,,,,,,,,,,,,,,
CA17632,201100536,1,29-Jul-11,9:22:24,36.576,39.32838333,-123.88465,0.92,N,,Y,,X,,1094,,,295,11,100,2,Central_Valley_fall,99.905,Central_Valley_spring,0.094,Deschutes_fall,0,,,,,,,,,,,,,,,,,,
CA17177,201100537,1,29-Jul-11,10:13:55,32.9184,39.28033333,-123.8457833,0.74,N,,Y,,X,,1099,,,300,11,100,2,Central_Valley_fall,100,Central_Valley_spring,0,Deschutes_fall,0,,,,,,,,,,,,,,,,,,
CA17908,201100538,1,01-Aug-11,11:54:43,18.288,38.4323,-123.13835,0.84,N,,Y,,X,,1046,,,251,11,100,2,Central_Valley_fall,99.909,Central_Valley_spring,0.09,0,0,,,,,,,,,,,,,,,,,,
CA19207,201100539,1,30-Jul-11,9:04:09,10.9728,38.40725,-123.1130167,0.895,N,,Y,,M,,1065,,,266,11,100,2,Central_Valley_fall,99.937,Central_Valley_spring,0.063,0,0,,,,,,,,,,,,,,,,,,
CA17203,201100540,1,29-Jul-11,11:25:47,64.008,39.38563333,-123.9010167,0.73,Y,,Y,,E,,1177,,,354,11,100,2,Central_Valley_fall,99.999,Central_Valley_spring,0,0,0,,,,,,,,,,,,,,,,,,
CA20828,201100541,1,29-Jul-11,18:48:36,65.8368,39.37365,-123.87515,0.78,N,,Y,,E,,1049,,,254,11,100,2,Central_Valley_fall,99.742,Central_Valley_spring,0.257,0,0,,,,,,,,,,,,,,,,,,
CA29206,201100542,1,03-Aug-11,8:02:34,25.6032,38.26986667,-123.0289333,0.93,N,,Y,,X,,1079,,,280,11,100,2,Rogue,100,N_California_S_Oregon_Coast,0,Klamath,0,,,,,,,,,,,,,,,,,,
CA20481,201100543,1,02-Aug-11,8:08:58,14.6304,38.35666667,-123.0855,0.8,N,,Y,,X,,1090,,,291,11,100,2,Central_Valley_fall,99.999,Central_Valley_spring,0,E_Vancouver_Island,0,,,,,,,,,,,,,,,,,,
CA29410,201100544,1,03-Aug-11,10:46:43,20.1168,38.18098333,-122.9768833,0.7,N,,Y,,X,,1180,,,368,11,100,2,Central_Valley_fall,99.961,Central_Valley_spring,0.038,0,0,,,,,,,,,,,,,,,,,,
CA20350,201100545,1,31-Jul-11,13:40:50,16.4592,38.20015,-122.9845833,0.72,Y,,Y,,X,,1158,,,340,11,100,2,Central_Valley_winter,100,0,0,0,0,,,,,,,,,,,,,,,,,,
CA21736,201100546,1,29-Jul-11,11:10:19,10.9728,39.72413333,-123.87835,0.85,N,,Y,,E,,1066,,,267,11,100,2,Central_Valley_fall,99.978,Central_Valley_spring,0.021,Deschutes_fall,0.001,,,,,,,,,,,,,,,,,,
CA21241,201100550,1,31-Jul-11,12:17:15,30.1752,39.87856667,-124.0599833,0.815,N,,Y,,X,,1047,,,252,11,100,2,Central_Valley_fall,99.998,Central_Valley_spring,0.002,0,0,,,,,,,,,,,,,,,,,,
CA24108,201100551,1,14-Aug-11,18:52:54,87.7824,39.39876667,-123.8725833,0.93,N,,Y,,X,,,,,,,,,Central_Valley_fall,99.831,Central_Valley_spring,0.169,0,0,,,,,,,,,,,,,,,,,,
CA27170,201100552,1,11-Aug-11,11:08:31,38.4048,39.99625,-124.0938833,0.71,N,,Y,,E,,1097,,,298,11,100,2,Central_Valley_fall,99.935,Central_Valley_spring,0.065,0,0,,,,,,,,,,,,,,,,,,
CA29424,201100555,1,24-Aug-11,17:12:39,21.9456,38.22438333,-123.0021,0.69,Y,,Y,,X,,1180,,,368,11,100,2,Central_Valley_fall,100,Central_Valley_spring,0,0,0,,,,,,,,,,,,,,,,,,
CA20843,201100556,1,19-Aug-11,12:24:00,10.9728,38.25933333,-123.036,0.84,Y,,Y,,E,,1049,,,254,11,100,2,Central_Valley_fall,99.998,Central_Valley_spring,0,Central_Valley_winter,0,,,,,,,,,,,,,,,,,,
CA13916,201100560,1,05-Aug-11,13:14:04,60.3504,39.6261,-123.87385,0.822,Y,,Y,,X,,1043,,,248,11,100,2,Central_Valley_fall,99.998,Central_Valley_spring,0.001,0,0,,,,,,,,,,,,,,,,,,
CA17257,201100561,1,17-Aug-11,15:35:22,25.6032,38.19606667,-122.99165,0.86,N,,Y,,M,,1177,,,354,11,100,2,Central_Valley_fall,99.999,Central_Valley_spring,0,0,0,,,,,,,,,,,,,,,,,,
CA20632,201100562,1,30-Jul-11,16:46:16,60.3504,39.37786667,-123.89635,1.03,N,,Y,,X,,1034,,,240,11,100,2,Rogue,97.914,N_California_S_Oregon_Coast,1.669,Mid_Oregon_Coast,0.411,,,,,,,,,,,,,,,,,,
CA26727,201100563,1,29-Jul-11,11:37:51,,39.51273333,-123.9047833,0.88,N,,Y,,E,,1057,,,258,11,100,2,Central_Valley_fall,99.999,Central_Valley_spring,0.001,0,0,,,,,,,,,,,,,,,,,,
CA17825,201100564,1,17-Aug-11,13:14:48,18.288,38.28666667,-123.0769,0.68,N,,Y,,U,,1046,,,251,11,100,2,Central_Valley_fall,100,Central_Valley_spring,0,0,0,,,,,,,,,,,,,,,,,,
CA23080,201100568,1,01-Aug-11,14:53:51,91.44,36.83871667,-122.0459333,0.7,N,,Y,,X,,1098,,,299,11,100,2,Central_Valley_fall,99.999,Central_Valley_spring,0,0,0,,,,,,,,,,,,,,,,,,
CA23706,201100570,1,07-Aug-11,11:15:48,98.7552,39.84483333,-123.9707167,0.795,N,,Y,,X,,1197,,,367,11,100,2,California_Coast,100,0,0,0,0,,,,,,,,,,,,,,,,,,
CA22193,201100571,1,23-Aug-11,10:11:18,23.7744,37.84885,-122.6816667,0.9,N,,Y,,E,,1040,,,246,11,100,2,Central_Valley_fall,99.948,Central_Valley_spring,0.051,0,0,,,,,,,,,,,,,,,,,,
CA16306,201100572,1,18-Aug-11,18:08:01,7.3152,37.93273333,-122.7794667,0.7,N,,Y,,U,,1062,,,319,11,100,2,Central_Valley_fall,99.999,Central_Valley_spring,0.001,0,0,,,,,,,,,,,,,,,,,,
CA23525,201100573,1,17-Aug-11,13:42:39,36.576,39.88595,-124.0369167,0.75,N,,Y,,M,,1091,,,292,11,100,2,Central_Valley_fall,99.999,Central_Valley_spring,0.001,0,0,,,,,,,,,,,,,,,,,,
CA13599,201100574,1,21-Aug-11,12:01:05,87.7824,39.63388333,-123.8881167,0.86,N,,Y,,E,,1130,,,321,11,100,2,California_Coast,99.999,N_California_S_Oregon_Coast,0.001,0,0,,,,,,,,,,,,,,,,,,
CA26505,201100575,1,29-Jul-11,16:06:27,73.152,39.52868333,-123.86445,0.91,N,,Y,,X,,1132,,,369,11,100,2,California_Coast,100,N_California_S_Oregon_Coast,0,0,0,,,,,,,,,,,,,,,,,,
CA29848,201100576,1,17-Aug-11,8:37:58,89.6112,39.52493333,-123.85495,0.83,N,,Y,,E,,1198,,,370,11,100,2,Central_Valley_fall,99.988,Central_Valley_spring,0.011,0,0,,,,,,,,,,,,,,,,,,
CA19406,201100577,1,29-Jul-11,15:33:04,73.152,40.07468333,-124.1911,0.74,N,,Y,,X,,1056,,,257,11,100,2,Klamath,97.44,Rogue,2.196,N_California_S_Oregon_Coast,0.365,,,,,,,,,,,,,,,,,,
CA25678,201100578,1,15-Aug-11,8:46:44,43.8912,39.45378333,-123.8866667,0.84,N,,Y,,X,,1078,,,279,11,100,2,Central_Valley_fall,99.999,S_Puget_Sound,0,0,0,,,,,,,,,,,,,,,,,,
CA11548,201100580,1,22-Aug-11,17:57:13,21.9456,37.85473333,-122.6768667,0.78,N,,Y,,X,,1054,,,255,11,100,2,Central_Valley_fall,100,Central_Valley_spring,0,L_Columbia_spring,0,,,,,,,,,,,,,,,,,,
CA24976,201100581,1,29-Jul-11,14:31:07,49.3776,39.8334,-124.0428,0.96,N,,Y,,E,,1167,,,302,11,100,2,Rogue,97.893,N_California_S_Oregon_Coast,1.535,Mid_Oregon_Coast,0.57,,,,,,,,,,,,,,,,,,
CA27631,201100582,1,29-Jul-11,11:42:38,36.576,39.31526667,-123.9089667,0.77,N,,Y,,U,,1068,,,269,11,100,2,Central_Valley_fall,99.975,Central_Valley_spring,0.023,0,0,,,,,,,,,,,,,,,,,,
CA28647,201100583,1,15-Aug-11,8:42:18,65.8368,39.36023333,-123.8750833,0.7,N,,Y,,U,,1140,,,329,11,100,2,California_Coast,99.991,N_California_S_Oregon_Coast,0.008,0,0,,,,,,,,,,,,,,,,,,
CA25459,201100585,1,16-Aug-11,12:06:27,73.152,39.54265,-123.8728167,0.82,N,,Y,,X,,1039,,,245,11,100,2,California_Coast,100,0,0,0,0,,,,,,,,,,,,,,,,,,
CA21880,201100587,1,29-Jul-11,13:29:27,49.3776,39.31573333,-123.92305,0.8,N,,Y,,X,,1060,,,261,11,100,2,Klamath,99.996,N_California_S_Oregon_Coast,0.002,Rogue,0.002,,,,,,,,,,,,,,,,,,
CA26873,201100588,1,16-Aug-11,11:51:00,54.864,39.549,-123.8881667,0.71,N,,Y,,M,,1123,,,316,11,100,2,California_Coast,79.191,N_California_S_Oregon_Coast,15.9,Mid_Oregon_Coast,2.72,,,,,,,,,,,,,,,,,,
CA32156,201100589,1,13-Sep-11,9:03:19,16.4592,38.37446667,-123.0940667,0.68,Y,,Y,,X,,1099,,,300,11,100,2,Central_Valley_fall,99.872,Central_Valley_spring,0.129,0,0,,,,,,,,,,,,,,,,,,
CA19532,201100590,1,05-Sep-11,17:18:05,60.3504,39.78983333,-123.9616667,0.74,Y,,Y,,M,,1056,,,257,11,100,2,Central_Valley_fall,99.986,Central_Valley_spring,0.015,0,0,,,,,,,,,,,,,,,,,,
CA17837,201100591,1,05-Sep-11,13:24:14,18.288,38.10738333,-122.9712833,0.8,Y,,Y,,X,,1046,,,251,11,100,2,Central_Valley_fall,88.565,Central_Valley_spring,11.435,Deschutes_fall,0,,,,,,,,,,,,,,,,,,
CA31206,201100597,1,16-Aug-11,9:05:23,32.9184,39.94263333,-124.0466667,0.79,N,,Y,,U,,1087,,,288,11,100,2,Central_Valley_fall,99.862,Central_Valley_spring,0.138,0,0,,,,,,,,,,,,,,,,,,
CA18806,201100598,1,21-Aug-11,17:18:07,16.4592,37.85823333,-122.66165,0.82,Y,,Y,,X,,1202,,,374,11,100,2,Central_Valley_fall,99.93,Central_Valley_spring,0.069,L_Columbia_spring,0,,,,,,,,,,,,,,,,,,
CA32019,201100599,1,02-Sep-11,15:45:37,21.9456,37.86633333,-122.7093667,0.68,N,,Y,,X,,1054,,,255,11,100,2,Central_Valley_fall,99.976,Central_Valley_spring,0.025,0,0,,,,,,,,,,,,,,,,,,
CA29429,201100602,1,19-Sep-11,13:25:25,12.8016,38.39013333,-123.1024667,0.87,N,,Y,,X,,1180,,,368,11,100,2,Central_Valley_fall,100,Central_Valley_spring,0.001,L_Columbia_fall,0,,,,,,,,,,,,,,,,,,
CA10456,201100604,1,06-Sep-11,18:11:37,14.6304,37.68081667,-122.5336,0.68,N,,Y,,M,,1062,,,319,11,100,2,Central_Valley_fall,100,Central_Valley_spring,0,0,0,,,,,,,,,,,,,,,,,,
CA29885,201100605,1,03-Sep-11,10:56:03,74.9808,39.36425,-123.9001167,0.76,N,,Y,,U,,1198,,,370,11,100,2,Central_Valley_fall,99.999,Central_Valley_spring,0,0,0,,,,,,,,,,,,,,,,,,
CA20053,201100607,1,04-Sep-11,11:33:06,91.44,39.37263333,-123.8999,0.69,Y,,Y,,X,,1131,,,322,11,100,2,Rogue,96.869,Mid_Oregon_Coast,3.129,California_Coast,0.002,,,,,,,,,,,,,,,,,,
CA26978,201100608,1,12-Sep-11,10:11:59,25.6032,39.48993333,-123.8195667,0.97,Y,,Y,,X,,1123,,,316,11,100,2,Central_Valley_fall,100,Central_Valley_spring,0,0,0,,,,,,,,,,,,,,,,,,
CA26493,201100610,1,06-Sep-11,14:10:51,76.8096,39.68996667,-123.887,0.72,N,,Y,,X,,1132,,,369,11,100,2,Rogue,99.608,Mid_Oregon_Coast,0.392,N_California_S_Oregon_Coast,0,,,,,,,,,,,,,,,,,,
CA28671,201100611,1,04-Sep-11,8:47:16,49.3776,39.38406667,-123.89915,0.68,N,,Y,,U,,1140,,,329,11,100,2,Rogue,90.003,N_California_S_Oregon_Coast,9.487,Klamath,0.493,,,,,,,,,,,,,,,,,,
CA25903,201100612,1,05-Sep-11,12:36:56,65.8368,39.82396667,-124.0155667,0.83,N,,Y,,X,,1143,,,332,11,100,2,Central_Valley_fall,99.997,Central_Valley_spring,0.002,0,0,,,,,,,,,,,,,,,,,,
CA15604,201100614,1,08-Aug-11,8:30:10,73.152,39.6127,-123.8845,0.68,Y,,Y,,U,,1066,,,267,11,100,2,Central_Valley_fall,99.982,Central_Valley_spring,0.018,0,0,,,,,,,,,,,,,,,,,,
